text,category,department,category_code,org_code,urgency,urgency_score
request for status of my police clearance certificate i have complained repeatedly and it is still unresolved,Home Affairs,Home Affairs,4742,MINHA,Low,22
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"sewage overflow on the road for 16 days, health hazard this is urgent",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,25
"unsafe conditions at the platform, no security at night this is urgent",Railway,Railway,2565,MORLY,Medium,32
"maternity benefit not received, pregnant and no support situation is unsafe and dangerous",Women and Child Development,Women and Child Development,5410,DOWCD,High,59
"reserved seat given to someone else, harassment by staff i have complained repeatedly and it is still unresolved",Railway,Railway,2565,MORLY,Medium,41
request for update on my esi claim senior citizen with no other support,Labour and Employment,Labour and Employment,2173,MOLBR,Low,22
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
request for information about property tax payment,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,10
"wrong tax demand raised, no response to my grievance",Income Tax,Income Tax,4414,CBODT,Low,15
"school building unsafe, roof leaking, children at risk",School Education,School Education,398,DOSEL,Medium,32
request for status of my vehicle registration,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,2
"no doctor available at the primary health centre for 8 days, medical emergency this is urgent",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
requesting information about porting my number to another operator,Telecommunications,Telecommunications,1,DOTEL,Low,2
broadband speed is far lower than the plan i am paying for my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Low,24
request for transfer certificate pending since 4 months,School Education,School Education,398,DOSEL,Low,13
request for information about filing a consumer complaint my elderly parent is suffering,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,18
"child harassment reported at centre, immediate action needed senior citizen with no other support",Women and Child Development,Women and Child Development,5410,DOWCD,High,52
my landline has been dead for 4 days and no technician has come situation is unsafe and dangerous,Telecommunications,Telecommunications,1,DOTEL,Medium,25
"ambulance did not arrive on time, elderly patient in danger please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"unsafe conditions at the platform, no security at night situation is unsafe and dangerous",Railway,Railway,2565,MORLY,Medium,25
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"driving licence renewal pending for 5 months, no response senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,43
"purchased defective product, seller refusing refund for 6 months this is urgent",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,23
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"false advertisement, product not as described, fraud there is a medical emergency",Consumer Affairs,Consumer Affairs,5409,DOCAF,High,45
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"harassment at workplace, no action taken despite complaints no response despite repeated complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,36
"my father's pension has been stopped since 1 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,52
request for transfer certificate pending since 6 months,School Education,School Education,398,DOSEL,Low,21
my registered parcel has been stuck in transit for 17 days my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,33
request for information about filing a consumer complaint senior citizen with no other support,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,19
"toll charged despite pass, request refund my elderly parent is suffering",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,18
tds credit not reflecting in my account my elderly parent is suffering,Income Tax,Income Tax,4414,CBODT,Low,24
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,2
broadband speed is far lower than the plan i am paying for,Telecommunications,Telecommunications,1,DOTEL,Low,8
"amount debited from my account but transaction failed, 7 months no refund i have complained repeatedly and it is still unresolved",Banking,Banking,251,DEABD,Medium,27
"call drops happening continuously, unable to make emergency calls this is urgent",Telecommunications,Telecommunications,1,DOTEL,Medium,34
"harassment at workplace, no action taken despite complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,34
"ambulance did not arrive on time, elderly patient in danger senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,48
"driving licence renewal pending for 5 months, no response i have complained repeatedly and it is still unresolved",Road Transport and Highways,Road Transport and Highways,616,MORTH,High,46
passport verification pending with police for 2 months please help immediately,Home Affairs,Home Affairs,4742,MINHA,Medium,35
"repeatedly following up on refund, no action taken",Income Tax,Income Tax,4414,CBODT,Low,14
"job card application pending, repeatedly visiting the office i have complained repeatedly and it is still unresolved",Rural Development,Rural Development,4976,DORLD,Medium,29
"no water supply in our locality for 4 days, children falling sick there is a medical emergency",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,41
"no water supply in our locality for 15 days, children falling sick",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,31
"no water supply in our locality for 5 days, children falling sick i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,36
train ticket refund not processed for 2 months despite cancellation this is urgent,Railway,Railway,2565,MORLY,Low,23
"unsafe conditions at the platform, no security at night i have complained repeatedly and it is still unresolved",Railway,Railway,2565,MORLY,Medium,28
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"purchased defective product, seller refusing refund for 1 months no response despite repeated complaints",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,25
housing scheme allotment pending for 10 months,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,19
suggestion to open more counters at the local post office this is urgent,Posts,Posts,61,DPOST,Low,10
"threat to my family, urgent protection needed situation is unsafe and dangerous",Home Affairs,Home Affairs,4742,MINHA,High,55
"purchased defective product, seller refusing refund for 7 months there is a medical emergency",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,32
"repeatedly following up on refund, no action taken my elderly parent is suffering",Income Tax,Income Tax,4414,CBODT,Medium,30
"unsafe conditions at the platform, no security at night i have complained repeatedly and it is still unresolved",Railway,Railway,2565,MORLY,Medium,28
"fraud transaction on my account, money stolen, please help urgently senior citizen with no other support",Banking,Banking,251,DEABD,High,59
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"fraud transaction on my account, money stolen, please help urgently i have complained repeatedly and it is still unresolved",Banking,Banking,251,DEABD,High,58
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
request for information about train schedule changes no response despite repeated complaints,Railway,Railway,2565,MORLY,Low,17
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,5
"call drops happening continuously, unable to make emergency calls please help immediately",Telecommunications,Telecommunications,1,DOTEL,Medium,34
train ticket refund not processed for 4 months despite cancellation,Railway,Railway,2565,MORLY,Low,23
rural road construction incomplete for 5 months my elderly parent is suffering,Rural Development,Rural Development,4976,DORLD,Medium,31
"my father's pension has been stopped since 8 months, he is a senior citizen i have complained repeatedly and it is still unresolved",Pension,Pension,6281,DEAPR,High,66
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"loan emi wrongly deducted twice, bank not responding",Banking,Banking,251,DEABD,Low,8
request for information about train schedule changes,Railway,Railway,2565,MORLY,Low,2
request for information about filing revised return,Income Tax,Income Tax,4414,CBODT,Low,2
request for status of my police clearance certificate please help immediately,Home Affairs,Home Affairs,4742,MINHA,Low,18
"repeatedly following up on refund, no action taken situation is unsafe and dangerous",Income Tax,Income Tax,4414,CBODT,Medium,31
request for status of my police clearance certificate situation is unsafe and dangerous,Home Affairs,Home Affairs,4742,MINHA,Low,22
"employer not paying wages for 5 months, family suffering no response despite repeated complaints",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,25
"repeatedly following up on refund, no action taken my elderly parent is suffering",Income Tax,Income Tax,4414,CBODT,Medium,33
"water scheme funds misused, corruption suspected situation is unsafe and dangerous",Rural Development,Rural Development,4976,DORLD,High,52
"child harassment reported at centre, immediate action needed please help immediately",Women and Child Development,Women and Child Development,5410,DOWCD,High,61
mgnrega wages not paid for 3 months to labourers in our village please help immediately,Rural Development,Rural Development,4976,DORLD,Medium,31
"maternity benefit not received, pregnant and no support there is a medical emergency",Women and Child Development,Women and Child Development,5410,DOWCD,High,59
my landline has been dead for 20 days and no technician has come my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Medium,31
request for status of my vehicle registration,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,2
"toll charged despite pass, request refund",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,5
"overcharged above mrp, shopkeeper cheated me",Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,22
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
request for information about the vaccination schedule,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,2
"large potholes on the highway causing accidents, unsafe for months my elderly parent is suffering",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,32
"illegal construction next door, complained repeatedly no action i have complained repeatedly and it is still unresolved",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,40
request for information about the vaccination schedule please help immediately,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,13
request for information about the vaccination schedule,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,2
request for status of my vehicle registration please help immediately,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,10
"toll charged despite pass, request refund please help immediately",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,15
"wrong tax demand raised, no response to my grievance no response despite repeated complaints",Income Tax,Income Tax,4414,CBODT,Low,20
"medicines out of stock at government hospital, patient suffering situation is unsafe and dangerous",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,42
request for information about filing a consumer complaint,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,2
anganwadi not providing nutrition to children for 4 days please help immediately,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,32
mgnrega wages not paid for 4 months to labourers in our village senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Medium,40
"no water in the coach during long journey, elderly passengers suffering please help immediately",Railway,Railway,2565,MORLY,Medium,40
"water scheme funds misused, corruption suspected",Rural Development,Rural Development,4976,DORLD,Medium,27
"speed post delivery delayed by 1 days, urgent documents inside senior citizen with no other support",Posts,Posts,61,DPOST,Medium,42
requesting information about porting my number to another operator,Telecommunications,Telecommunications,1,DOTEL,Low,2
request for status update on my pension revision application this is urgent,Pension,Pension,6281,DEAPR,Low,13
"large potholes on the highway causing accidents, unsafe for months senior citizen with no other support",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,38
"wrong tax demand raised, no response to my grievance",Income Tax,Income Tax,4414,CBODT,Low,15
request to update my kyc details in the account this is urgent,Banking,Banking,251,DEABD,Low,13
request for status of my vehicle registration,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,5
"fraud transaction on my account, money stolen, please help urgently there is a medical emergency",Banking,Banking,251,DEABD,High,53
requesting information about porting my number to another operator,Telecommunications,Telecommunications,1,DOTEL,Low,2
mid day meal not provided for 10 days at the government school,School Education,School Education,398,DOSEL,Low,17
"domestic violence case, need urgent help, unsafe at home",Women and Child Development,Women and Child Development,5410,DOWCD,Medium,29
"driving licence renewal pending for 2 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,29
"no water in the coach during long journey, elderly passengers suffering situation is unsafe and dangerous",Railway,Railway,2565,MORLY,Medium,41
"loan emi wrongly deducted twice, bank not responding there is a medical emergency",Banking,Banking,251,DEABD,Medium,33
"father is a disabled senior citizen, pension denied for 10 months, no food, please help immediately",Pension,Pension,6281,DEAPR,Critical,71
"driving licence renewal pending for 4 months, no response",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,26
"repeatedly following up on refund, no action taken no response despite repeated complaints",Income Tax,Income Tax,4414,CBODT,Low,21
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,5
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
scholarship amount not received by my child for 6 months please help immediately,School Education,School Education,398,DOSEL,High,64
"teacher shortage in the school, no classes happening there is a medical emergency",School Education,School Education,398,DOSEL,Medium,33
"harassment at workplace, no action taken despite complaints i have complained repeatedly and it is still unresolved",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,41
"large potholes on the highway causing accidents, unsafe for months",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,21
"speed post delivery delayed by 17 days, urgent documents inside i have complained repeatedly and it is still unresolved",Posts,Posts,61,DPOST,Medium,36
my registered parcel has been stuck in transit for 9 days,Posts,Posts,61,DPOST,Low,12
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
request for status of my vehicle registration situation is unsafe and dangerous,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,22
request for transfer certificate pending since 9 months this is urgent,School Education,School Education,398,DOSEL,Low,21
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
income tax refund pending for 10 months despite filing my elderly parent is suffering,Income Tax,Income Tax,4414,CBODT,Medium,35
"repeatedly following up on refund, no action taken situation is unsafe and dangerous",Income Tax,Income Tax,4414,CBODT,Medium,34
requesting information about porting my number to another operator,Telecommunications,Telecommunications,1,DOTEL,Low,7
request for status of my vehicle registration,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,2
"overcharged above mrp, shopkeeper cheated me please help immediately",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,30
"no water in the coach during long journey, elderly passengers suffering i have complained repeatedly and it is still unresolved",Railway,Railway,2565,MORLY,Medium,44
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
request to update my kyc details in the account i have complained repeatedly and it is still unresolved,Banking,Banking,251,DEABD,Low,22
"job card application pending, repeatedly visiting the office",Rural Development,Rural Development,4976,DORLD,Low,18
no network coverage in my area for 7 days despite repeated complaints,Telecommunications,Telecommunications,1,DOTEL,Low,12
"unsafe conditions at the platform, no security at night",Railway,Railway,2565,MORLY,Low,24
"no water in the coach during long journey, elderly passengers suffering",Railway,Railway,2565,MORLY,Medium,29
requesting information about porting my number to another operator i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Low,17
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
mid day meal not provided for 8 days at the government school this is urgent,School Education,School Education,398,DOSEL,Low,20
rural road construction incomplete for 2 months there is a medical emergency,Rural Development,Rural Development,4976,DORLD,Medium,37
"my father's pension has been stopped since 8 months, he is a senior citizen there is a medical emergency",Pension,Pension,6281,DEAPR,High,66
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"illegal construction next door, complained repeatedly no action no response despite repeated complaints",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,33
"safety concern in my locality, no police response, danger",Home Affairs,Home Affairs,4742,MINHA,Medium,37
"repeatedly following up on refund, no action taken no response despite repeated complaints",Income Tax,Income Tax,4414,CBODT,Low,24
"harassment at workplace, no action taken despite complaints i have complained repeatedly and it is still unresolved",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,41
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,7
request for update on my esi claim,Labour and Employment,Labour and Employment,2173,MOLBR,Low,2
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
"family pension denied after my husband's death, i am a widow my elderly parent is suffering",Pension,Pension,6281,DEAPR,High,51
"fraud transaction on my account, money stolen, please help urgently please help immediately",Banking,Banking,251,DEABD,High,53
request for information about the housing scheme eligibility please help immediately,Rural Development,Rural Development,4976,DORLD,Low,15
my registered parcel has been stuck in transit for 17 days my elderly parent is suffering,Posts,Posts,61,DPOST,Medium,36
mgnrega wages not paid for 2 months to labourers in our village no response despite repeated complaints,Rural Development,Rural Development,4976,DORLD,Low,22
"harassment at workplace, no action taken despite complaints please help immediately",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,37
request for information about the vaccination schedule my elderly parent is suffering,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,18
"money order not delivered to my elderly mother, she is waiting",Posts,Posts,61,DPOST,Low,24
request for update on my esi claim this is urgent,Labour and Employment,Labour and Employment,2173,MOLBR,Low,10
"false advertisement, product not as described, fraud my elderly parent is suffering",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,44
passport verification pending with police for 5 months senior citizen with no other support,Home Affairs,Home Affairs,4742,MINHA,Medium,36
"hospital demanded bribe for admitting my child, this is corruption there is a medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"child harassment reported at centre, immediate action needed there is a medical emergency",Women and Child Development,Women and Child Development,5410,DOWCD,High,63
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
anganwadi not providing nutrition to children for 20 days,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,28
"medicines out of stock at government hospital, patient suffering situation is unsafe and dangerous",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,47
"maternity benefit not received, pregnant and no support situation is unsafe and dangerous",Women and Child Development,Women and Child Development,5410,DOWCD,High,62
"medicines out of stock at government hospital, patient suffering please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
"pregnant woman denied urgent maternity care, life in danger, no response",Women and Child Development,Women and Child Development,5410,DOWCD,High,68
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
request for information about filing a consumer complaint no response despite repeated complaints,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,17
rural road construction incomplete for 10 months,Rural Development,Rural Development,4976,DORLD,Low,15
"repeatedly following up on refund, no action taken",Income Tax,Income Tax,4414,CBODT,Low,17
"no water in the coach during long journey, elderly passengers suffering",Railway,Railway,2565,MORLY,Medium,29
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
"toll charged despite pass, request refund there is a medical emergency",Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,22
my landline has been dead for 14 days and no technician has come i have complained repeatedly and it is still unresolved,Telecommunications,Telecommunications,1,DOTEL,Medium,32
"my father's pension has been stopped since 1 months, he is a senior citizen",Pension,Pension,6281,DEAPR,High,49
request to update my kyc details in the account situation is unsafe and dangerous,Banking,Banking,251,DEABD,Low,22
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
"school building unsafe, roof leaking, children at risk no response despite repeated complaints",School Education,School Education,398,DOSEL,High,47
"medicines out of stock at government hospital, patient suffering please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,33
suggestion to open more counters at the local post office there is a medical emergency,Posts,Posts,61,DPOST,Low,19
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
"large potholes on the highway causing accidents, unsafe for months i have complained repeatedly and it is still unresolved",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,28
"water scheme funds misused, corruption suspected this is urgent",Rural Development,Rural Development,4976,DORLD,Medium,35
"unsafe conditions at the platform, no security at night my elderly parent is suffering",Railway,Railway,2565,MORLY,Medium,35
"hospital demanded bribe for admitting my child, this is corruption senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,60
"my father's pension has been stopped since 10 months, he is a senior citizen this is urgent",Pension,Pension,6281,DEAPR,High,65
"money order not delivered to my elderly mother, she is waiting senior citizen with no other support",Posts,Posts,61,DPOST,Medium,34
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"fir not registered despite repeated visits, harassment senior citizen with no other support",Home Affairs,Home Affairs,4742,MINHA,High,46
"my elderly widowed mother's pension stopped for 8 months, senior citizen with no income, medical bills unpaid, urgent",Pension,Pension,6281,DEAPR,Critical,75
"hospital demanded bribe to admit my critically ill child, this is corruption and unsafe",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,68
request for information about child care schemes please help immediately,Women and Child Development,Women and Child Development,5410,DOWCD,Medium,34
"repeatedly following up on refund, no action taken",Income Tax,Income Tax,4414,CBODT,Low,14
"child harassment reported at centre, immediate action needed",Women and Child Development,Women and Child Development,5410,DOWCD,High,53
"fraud transaction on my account, money stolen, please help urgently situation is unsafe and dangerous",Banking,Banking,251,DEABD,High,58
"medical emergency, no doctor or ambulance available, elderly patient in danger, please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,56
"street lights not working on the highway, danger at night i have complained repeatedly and it is still unresolved",Road Transport and Highways,Road Transport and Highways,616,MORTH,Medium,29
rural road construction incomplete for 1 months,Rural Development,Rural Development,4976,DORLD,Low,15
"reserved seat given to someone else, harassment by staff",Railway,Railway,2565,MORLY,Medium,29
"maternity benefit not received, pregnant and no support this is urgent",Women and Child Development,Women and Child Development,5410,DOWCD,High,50
"overcharged above mrp, shopkeeper cheated me i have complained repeatedly and it is still unresolved",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,29
"no water in the coach during long journey, elderly passengers suffering my elderly parent is suffering",Railway,Railway,2565,MORLY,Medium,29
"no doctor available at the primary health centre for 16 days, medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,37
request for information about the vaccination schedule i have complained repeatedly and it is still unresolved,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,14
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
suggestion to open more counters at the local post office,Posts,Posts,61,DPOST,Low,10
"teacher shortage in the school, no classes happening",School Education,School Education,398,DOSEL,Low,13
suggestion to open more counters at the local post office i have complained repeatedly and it is still unresolved,Posts,Posts,61,DPOST,Low,14
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"no water in the coach during long journey, elderly passengers suffering i have complained repeatedly and it is still unresolved",Railway,Railway,2565,MORLY,Medium,44
"hospital demanded bribe for admitting my child, this is corruption",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,61
"fir not registered despite repeated visits, harassment",Home Affairs,Home Affairs,4742,MINHA,Medium,29
housing scheme allotment pending for 5 months,Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Low,19
"online order not delivered, money not refunded situation is unsafe and dangerous",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,25
mid day meal not provided for 17 days at the government school senior citizen with no other support,School Education,School Education,398,DOSEL,Medium,29
"medicines out of stock at government hospital, patient suffering senior citizen with no other support",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,32
"workplace safety violations, unsafe conditions, workers in danger situation is unsafe and dangerous",Labour and Employment,Labour and Employment,2173,MOLBR,High,45
request for information about the housing scheme eligibility senior citizen with no other support,Rural Development,Rural Development,4976,DORLD,Low,19
"no doctor available at the primary health centre for 13 days, medical emergency there is a medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,34
mid day meal not provided for 8 days at the government school senior citizen with no other support,School Education,School Education,398,DOSEL,Medium,29
"false advertisement, product not as described, fraud my elderly parent is suffering",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,44
"false advertisement, product not as described, fraud no response despite repeated complaints",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,43
"my provident fund withdrawal pending for 10 months, need it urgently situation is unsafe and dangerous",Labour and Employment,Labour and Employment,2173,MOLBR,Medium,44
"pension not credited for 4 months, elderly and no other income this is urgent",Pension,Pension,6281,DEAPR,Medium,39
"no oxygen supply at government hospital, patient dying, urgent action needed immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,High,49
"loan emi wrongly deducted twice, bank not responding there is a medical emergency",Banking,Banking,251,DEABD,Medium,25
"no doctor available at the primary health centre for 1 days, medical emergency please help immediately",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,41
request for information about filing a consumer complaint my elderly parent is suffering,Consumer Affairs,Consumer Affairs,5409,DOCAF,Low,18
request for information about the housing scheme eligibility this is urgent,Rural Development,Rural Development,4976,DORLD,Low,10
request for status of my vehicle registration please help immediately,Road Transport and Highways,Road Transport and Highways,616,MORTH,Low,10
request for status update on my pension revision application this is urgent,Pension,Pension,6281,DEAPR,Low,10
"employer not paying wages for 2 months, family suffering please help immediately",Labour and Employment,Labour and Employment,2173,MOLBR,Low,23
"no doctor available at the primary health centre for 16 days, medical emergency",Health and Family Welfare,Health and Family Welfare,656,DHLTH,Medium,34
"online order not delivered, money not refunded senior citizen with no other support",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,30
passport verification pending with police for 1 months my elderly parent is suffering,Home Affairs,Home Affairs,4742,MINHA,Medium,35
rural road construction incomplete for 7 months there is a medical emergency,Rural Development,Rural Development,4976,DORLD,Medium,32
"overcharged above mrp, shopkeeper cheated me this is urgent",Consumer Affairs,Consumer Affairs,5409,DOCAF,Medium,27
my landline has been dead for 20 days and no technician has come my elderly parent is suffering,Telecommunications,Telecommunications,1,DOTEL,Medium,31
"child harassment reported at centre, immediate action needed situation is unsafe and dangerous",Women and Child Development,Women and Child Development,5410,DOWCD,High,60
"harassment at workplace, no action taken despite complaints please help immediately",Labour and Employment,Labour and Employment,2173,MOLBR,High,45
"loan emi wrongly deducted twice, bank not responding my elderly parent is suffering",Banking,Banking,251,DEABD,Medium,32
"no water in the coach during long journey, elderly passengers suffering senior citizen with no other support",Railway,Railway,2565,MORLY,Medium,31
"illegal construction next door, complained repeatedly no action",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,34
"threat to my family safety, unsafe situation, no police response despite repeated calls, urgent",Home Affairs,Home Affairs,4742,MINHA,High,53
"repeatedly following up on refund, no action taken",Income Tax,Income Tax,4414,CBODT,Low,19
"speed post delivery delayed by 14 days, urgent documents inside",Posts,Posts,61,DPOST,Medium,29
"fraud drained my entire account, money stolen, elderly and no savings left, urgent help needed immediately",Banking,Banking,251,DEABD,High,68
request for information about the vaccination schedule there is a medical emergency,Health and Family Welfare,Health and Family Welfare,656,DHLTH,Low,22
"domestic violence emergency, my life is in danger, immediate protection needed",Home Affairs,Home Affairs,4742,MINHA,Medium,35
my monthly income scheme interest not credited since 10 months please help immediately,Posts,Posts,61,DPOST,Low,23
income tax refund pending for 7 months despite filing no response despite repeated complaints,Income Tax,Income Tax,4414,CBODT,Medium,34
"job card application pending, repeatedly visiting the office no response despite repeated complaints",Rural Development,Rural Development,4976,DORLD,Medium,33
"sewage overflow on the road for 19 days, health hazard senior citizen with no other support",Housing and Urban Affairs,Housing and Urban Affairs,2426,DOURD,Medium,34
"safety concern in my locality, no police response, danger my elderly parent is suffering",Home Affairs,Home Affairs,4742,MINHA,High,53
